Instance Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Network Performance,Generation,Local SSD,Shared CPU,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 2,c4-highmem-2,15 GiB,2,7.5 GiB/vCPU,0,Variable,current,No,No,$0.1284 hourly,$0.0642 hourly,$0.2204 hourly,$0.1562 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,7.75 GiB/vCPU,0,Variable,current,No,No,$1.5641 hourly,$0.7817 hourly,$2.6681 hourly,$1.8857 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,7.75 GiB/vCPU,0,Variable,current,No,No,$1.5641 hourly,$0.7817 hourly,$2.6681 hourly,$1.8857 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,7.75 GiB/vCPU,0,Variable,current,No,No,$18.7688 hourly,$9.3807 hourly,$32.0168 hourly,$22.6287 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,7.75 GiB/vCPU,0,Variable,current,No,No,$18.7688 hourly,$9.3807 hourly,$32.0168 hourly,$22.6287 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,7.75 GiB/vCPU,0,Variable,current,No,No,$18.7688 hourly,$9.3807 hourly,$32.0168 hourly,$22.6287 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,7.75 GiB/vCPU,0,Variable,current,No,No,$18.7688 hourly,$9.3807 hourly,$32.0168 hourly,$22.6287 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,7.75 GiB/vCPU,0,Variable,current,No,No,$2.0854 hourly,$1.0423 hourly,$3.5574 hourly,$2.5143 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,7.75 GiB/vCPU,0,Variable,current,No,No,$2.0854 hourly,$1.0423 hourly,$3.5574 hourly,$2.5143 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,7.75 GiB/vCPU,0,Variable,current,No,No,$0.2607 hourly,$0.1303 hourly,$0.4447 hourly,$0.3143 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,7.75 GiB/vCPU,0,Variable,current,No,No,$0.2607 hourly,$0.1303 hourly,$0.4447 hourly,$0.3143 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,7.75 GiB/vCPU,0,Variable,current,No,No,$3.1281 hourly,$1.5635 hourly,$5.3361 hourly,$3.7715 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,7.75 GiB/vCPU,0,Variable,current,No,No,$3.1281 hourly,$1.5635 hourly,$5.3361 hourly,$3.7715 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,7.75 GiB/vCPU,0,Variable,current,No,No,$0.5214 hourly,$0.2606 hourly,$0.8894 hourly,$0.6286 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,7.75 GiB/vCPU,0,Variable,current,No,No,$0.5214 hourly,$0.2606 hourly,$0.8894 hourly,$0.6286 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,7.75 GiB/vCPU,0,Variable,current,No,No,$6.2563 hourly,$3.1269 hourly,$10.6723 hourly,$7.5429 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,7.75 GiB/vCPU,0,Variable,current,No,No,$6.2563 hourly,$3.1269 hourly,$10.6723 hourly,$7.5429 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,3.75 GiB/vCPU,0,Variable,current,No,No,$7.1161 hourly,$3.5568 hourly,$13.7401 hourly,$10.1808 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,3.75 GiB/vCPU,0,Variable,current,No,No,$7.1161 hourly,$3.5568 hourly,$13.7401 hourly,$10.1808 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,3.75 GiB/vCPU,0,Variable,current,No,No,$0.7907 hourly,$0.3952 hourly,$1.5267 hourly,$1.1312 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,3.75 GiB/vCPU,0,Variable,current,No,No,$0.7907 hourly,$0.3952 hourly,$1.5267 hourly,$1.1312 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,3.75 GiB/vCPU,0,Variable,current,No,No,$9.4882 hourly,$4.7424 hourly,$18.3202 hourly,$13.5744 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,3.75 GiB/vCPU,0,Variable,current,No,No,$9.4882 hourly,$4.7424 hourly,$18.3202 hourly,$13.5744 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,3.5 GiB/vCPU,0,Variable,current,No,No,$0.0969 hourly,$0.0484 hourly,$0.1889 hourly,$0.1404 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,3.75 GiB/vCPU,0,Variable,current,No,No,$1.186 hourly,$0.5928 hourly,$2.29 hourly,$1.6968 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,3.75 GiB/vCPU,0,Variable,current,No,No,$1.186 hourly,$0.5928 hourly,$2.29 hourly,$1.6968 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,3.75 GiB/vCPU,0,Variable,current,No,No,$14.2322 hourly,$7.1136 hourly,$27.4802 hourly,$20.3616 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,3.75 GiB/vCPU,0,Variable,current,No,No,$14.2322 hourly,$7.1136 hourly,$27.4802 hourly,$20.3616 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,3.75 GiB/vCPU,0,Variable,current,No,No,$14.2322 hourly,$7.1136 hourly,$27.4802 hourly,$20.3616 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,3.75 GiB/vCPU,0,Variable,current,No,No,$14.2322 hourly,$7.1136 hourly,$27.4802 hourly,$20.3616 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,3.75 GiB/vCPU,0,Variable,current,No,No,$1.5814 hourly,$0.7904 hourly,$3.0534 hourly,$2.2624 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,3.75 GiB/vCPU,0,Variable,current,No,No,$1.5814 hourly,$0.7904 hourly,$3.0534 hourly,$2.2624 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,3.75 GiB/vCPU,0,Variable,current,No,No,$0.1977 hourly,$0.0988 hourly,$0.3817 hourly,$0.2828 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,3.75 GiB/vCPU,0,Variable,current,No,No,$0.1977 hourly,$0.0988 hourly,$0.3817 hourly,$0.2828 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,3.75 GiB/vCPU,0,Variable,current,No,No,$2.372 hourly,$1.1856 hourly,$4.58 hourly,$3.3936 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,3.75 GiB/vCPU,0,Variable,current,No,No,$2.372 hourly,$1.1856 hourly,$4.58 hourly,$3.3936 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,3.75 GiB/vCPU,0,Variable,current,No,No,$0.3953 hourly,$0.1976 hourly,$0.7633 hourly,$0.5656 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,3.75 GiB/vCPU,0,Variable,current,No,No,$0.3953 hourly,$0.1976 hourly,$0.7633 hourly,$0.5656 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,3.75 GiB/vCPU,0,Variable,current,No,No,$4.7441 hourly,$2.3712 hourly,$9.1601 hourly,$6.7872 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,3.75 GiB/vCPU,0,Variable,current,No,No,$4.7441 hourly,$2.3712 hourly,$9.1601 hourly,$6.7872 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,1 GiB/vCPU,0,Variable,current,No,No,$0.4458 hourly,$0.1914 hourly,$1.1818 hourly,$0.9274 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,1 GiB/vCPU,0,Variable,current,No,No,$0.0557 hourly,$0.0239 hourly,$0.1477 hourly,$0.1159 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,1 GiB/vCPU,0,Variable,current,No,No,$0.8915 hourly,$0.3828 hourly,$2.3635 hourly,$1.8548 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,1 GiB/vCPU,0,Variable,current,No,No,$0.1114 hourly,$0.0479 hourly,$0.2954 hourly,$0.2319 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,1 GiB/vCPU,0,Variable,current,No,No,$0.2229 hourly,$0.0957 hourly,$0.5909 hourly,$0.4637 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$0.8145 hourly,$0.3497 hourly,$1.5505 hourly,$1.0857 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,8 GiB/vCPU,0,Variable,current,No,No,$0.1018 hourly,$0.0437 hourly,$0.1938 hourly,$0.1357 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,8 GiB/vCPU,0,Variable,current,No,No,$0.2036 hourly,$0.0874 hourly,$0.3876 hourly,$0.2714 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.4072 hourly,$0.1748 hourly,$0.7752 hourly,$0.5428 hourly
E2 Medium,e2-medium,4 GiB,2,2 GiB/vCPU,0,Variable,current,No,Yes,$0.0623 hourly,$0.0268 hourly,$0.1543 hourly,$0.1188 hourly
E2 Micro,e2-micro,1 GiB,2,0.5 GiB/vCPU,0,Variable,current,No,Yes,$0.0524 hourly,$0.0225 hourly,$0.1444 hourly,$0.1145 hourly
E2 Small,e2-small,2 GiB,2,1 GiB/vCPU,0,Variable,current,No,Yes,$0.0557 hourly,$0.0239 hourly,$0.1477 hourly,$0.1159 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,4 GiB/vCPU,0,Variable,current,No,No,$0.6038 hourly,$0.2592 hourly,$1.3398 hourly,$0.9952 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,4 GiB/vCPU,0,Variable,current,No,No,$0.0755 hourly,$0.0324 hourly,$0.1675 hourly,$0.1244 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,4 GiB/vCPU,0,Variable,current,No,No,$1.2075 hourly,$0.5185 hourly,$2.6795 hourly,$1.9905 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,4 GiB/vCPU,0,Variable,current,No,No,$0.1509 hourly,$0.0648 hourly,$0.3349 hourly,$0.2488 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,4 GiB/vCPU,0,Variable,current,No,No,$0.3019 hourly,$0.1296 hourly,$0.6699 hourly,$0.4976 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,4 GiB/vCPU,1,Variable,current,No,No,$0.4404 hourly,$0.1755 hourly,$0.9924 hourly,$0.7275 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,4 GiB/vCPU,1,Variable,current,No,No,$0.5872 hourly,$0.234 hourly,$1.3232 hourly,$0.97 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,4 GiB/vCPU,2,Variable,current,No,No,$0.8808 hourly,$0.3511 hourly,$1.9848 hourly,$1.4551 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,4 GiB/vCPU,1,Variable,current,No,No,$1.1743 hourly,$0.4681 hourly,$2.6463 hourly,$1.9401 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,4 GiB/vCPU,1,Variable,current,No,No,$0.1468 hourly,$0.0585 hourly,$0.3308 hourly,$0.2425 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,4 GiB/vCPU,4,Variable,current,No,No,$1.7615 hourly,$0.7021 hourly,$3.9695 hourly,$2.9101 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,4 GiB/vCPU,1,Variable,current,No,No,$0.2936 hourly,$0.117 hourly,$0.6616 hourly,$0.485 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,4 GiB/vCPU,8,Variable,current,No,No,$3.523 hourly,$1.4043 hourly,$7.939 hourly,$5.8203 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,4 GiB/vCPU,0,Variable,current,No,No,$4.9236 hourly,$1.0344 hourly,$8.9716 hourly,$5.0824 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,15.25 GiB/vCPU,0,Variable,current,No,No,$14.4096 hourly,$1.9395 hourly,$20.2976 hourly,$7.8275 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,15.25 GiB/vCPU,0,Variable,current,No,No,$7.2048 hourly,$0.9697 hourly,$10.1488 hourly,$3.9137 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,30.5 GiB/vCPU,0,Variable,current,No,No,$24.3648 hourly,$3.2824 hourly,$30.2528 hourly,$9.1704 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,30.5 GiB/vCPU,0,Variable,current,No,No,$6.0912 hourly,$0.8206 hourly,$7.5632 hourly,$2.2926 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,30.5 GiB/vCPU,0,Variable,current,No,No,$12.1824 hourly,$1.6412 hourly,$15.1264 hourly,$4.5852 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,15.5 GiB/vCPU,0,Variable,current,No,No,$1.4258 hourly,$0.6132 hourly,$2.1618 hourly,$1.3492 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,15.5 GiB/vCPU,0,Variable,current,No,No,$2.8516 hourly,$1.2264 hourly,$4.3236 hourly,$2.6984 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,15.5 GiB/vCPU,0,Variable,current,No,No,$5.7033 hourly,$2.4529 hourly,$8.6473 hourly,$5.3969 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,13.29 GiB/vCPU,0,Variable,current,No,No,$8.8473 hourly,$3.8256 hourly,$13.9993 hourly,$8.9776 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,13.29 GiB/vCPU,0,Variable,current,No,No,$17.6947 hourly,$7.6512 hourly,$27.9987 hourly,$17.9552 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,13.29 GiB/vCPU,0,Variable,current,No,No,$2.2118 hourly,$0.9564 hourly,$3.4998 hourly,$2.2444 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,13.29 GiB/vCPU,0,Variable,current,No,No,$4.4237 hourly,$1.9128 hourly,$6.9997 hourly,$4.4888 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,26.57 GiB/vCPU,0,Variable,current,No,No,$15.6475 hourly,$6.6275 hourly,$20.7995 hourly,$11.7795 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,26.57 GiB/vCPU,0,Variable,current,No,No,$31.295 hourly,$13.255 hourly,$41.599 hourly,$23.559 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,26.57 GiB/vCPU,0,Variable,current,No,No,$7.8238 hourly,$3.3137 hourly,$10.3998 hourly,$5.8897 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,0.9 GiB/vCPU,0,Variable,current,No,No,$0.6384 hourly,$0.139 hourly,$1.3744 hourly,$0.875 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,0.9 GiB/vCPU,0,Variable,current,No,No,$0.0798 hourly,$0.0174 hourly,$0.1718 hourly,$0.1094 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,0.9 GiB/vCPU,0,Variable,current,No,No,$1.2768 hourly,$0.2779 hourly,$2.7488 hourly,$1.7499 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,0.9 GiB/vCPU,0,Variable,current,No,No,$0.1596 hourly,$0.0347 hourly,$0.3436 hourly,$0.2187 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,0.9 GiB/vCPU,0,Variable,current,No,No,$2.5535 hourly,$0.5559 hourly,$5.4975 hourly,$3.4999 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,0.9 GiB/vCPU,0,Variable,current,No,No,$0.3192 hourly,$0.0695 hourly,$0.6872 hourly,$0.4375 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,0.9 GiB/vCPU,0,Variable,current,No,No,$3.8303 hourly,$0.8338 hourly,$8.2463 hourly,$5.2498 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,6.5 GiB/vCPU,0,Variable,current,No,No,$1.0659 hourly,$0.2211 hourly,$1.8019 hourly,$0.9571 hourly
N1 High Memory 2,n1-highmem-2,13 GiB,2,6.5 GiB/vCPU,0,Variable,current,No,No,$0.1332 hourly,$0.0276 hourly,$0.2252 hourly,$0.1196 hourly
N1 High Memory 32,n1-highmem-32,208 GiB,32,6.5 GiB/vCPU,0,Variable,current,No,No,$2.1317 hourly,$0.4423 hourly,$3.6037 hourly,$1.9143 hourly
N1 High Memory 4,n1-highmem-4,26 GiB,4,6.5 GiB/vCPU,0,Variable,current,No,No,$0.2665 hourly,$0.0553 hourly,$0.4505 hourly,$0.2393 hourly
N1 High Memory 64,n1-highmem-64,416 GiB,64,6.5 GiB/vCPU,0,Variable,current,No,No,$4.2635 hourly,$0.8845 hourly,$7.2075 hourly,$3.8285 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,6.5 GiB/vCPU,0,Variable,current,No,No,$0.5329 hourly,$0.1106 hourly,$0.9009 hourly,$0.4786 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,6.5 GiB/vCPU,0,Variable,current,No,No,$6.3952 hourly,$1.3268 hourly,$10.8112 hourly,$5.7428 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,14.93 GiB/vCPU,0,Variable,current,No,No,$10.2578 hourly,$2.0692 hourly,$14.6738 hourly,$6.4852 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,3.75 GiB/vCPU,0,Variable,current,No,No,$0.0535 hourly,$0.0113 hourly,$0.0995 hourly,$0.0573 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,3.75 GiB/vCPU,0,Variable,current,No,No,$0.8559 hourly,$0.1808 hourly,$1.5919 hourly,$0.9168 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,3.75 GiB/vCPU,0,Variable,current,No,No,$0.107 hourly,$0.0226 hourly,$0.199 hourly,$0.1146 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,3.75 GiB/vCPU,0,Variable,current,No,No,$1.7119 hourly,$0.3616 hourly,$3.1839 hourly,$1.8336 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,3.75 GiB/vCPU,0,Variable,current,No,No,$0.214 hourly,$0.0452 hourly,$0.398 hourly,$0.2292 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,3.75 GiB/vCPU,0,Variable,current,No,No,$3.4238 hourly,$0.7231 hourly,$6.3678 hourly,$3.6671 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,3.75 GiB/vCPU,0,Variable,current,No,No,$0.428 hourly,$0.0904 hourly,$0.796 hourly,$0.4584 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,3.75 GiB/vCPU,0,Variable,current,No,No,$5.1356 hourly,$1.0847 hourly,$9.5516 hourly,$5.5007 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,24.03 GiB/vCPU,0,Variable,current,No,No,$24.0365 hourly,$4.7825 hourly,$31.3965 hourly,$12.1425 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,24.03 GiB/vCPU,0,Variable,current,No,No,$6.0091 hourly,$1.1956 hourly,$7.8491 hourly,$3.0356 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,24.03 GiB/vCPU,0,Variable,current,No,No,$12.0183 hourly,$2.3913 hourly,$15.6983 hourly,$6.0713 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,1 GiB/vCPU,0,Variable,current,No,No,$0.646 hourly,$0.1421 hourly,$1.382 hourly,$0.8781 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,1 GiB/vCPU,0,Variable,current,No,No,$0.0808 hourly,$0.0178 hourly,$0.1728 hourly,$0.1098 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,1 GiB/vCPU,0,Variable,current,No,No,$1.292 hourly,$0.2842 hourly,$2.764 hourly,$1.7562 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,1 GiB/vCPU,0,Variable,current,No,No,$0.1615 hourly,$0.0355 hourly,$0.3455 hourly,$0.2195 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,1 GiB/vCPU,0,Variable,current,No,No,$1.938 hourly,$0.4263 hourly,$4.146 hourly,$2.6343 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,1 GiB/vCPU,0,Variable,current,No,No,$2.5841 hourly,$0.5684 hourly,$5.5281 hourly,$3.5124 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,1 GiB/vCPU,0,Variable,current,No,No,$0.323 hourly,$0.0711 hourly,$0.691 hourly,$0.4391 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,1 GiB/vCPU,0,Variable,current,No,No,$3.2301 hourly,$0.7106 hourly,$6.9101 hourly,$4.3906 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,1 GiB/vCPU,0,Variable,current,No,No,$3.8761 hourly,$0.8527 hourly,$8.2921 hourly,$5.2687 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,6.75 GiB/vCPU,0,Variable,current,No,No,$8.6796 hourly,$1.9112 hourly,$14.5676 hourly,$7.7992 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$1.1804 hourly,$0.2599 hourly,$1.9164 hourly,$0.9959 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,8 GiB/vCPU,0,Variable,current,No,No,$0.1475 hourly,$0.0325 hourly,$0.2395 hourly,$0.1245 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,8 GiB/vCPU,0,Variable,current,No,No,$2.3607 hourly,$0.5199 hourly,$3.8327 hourly,$1.9919 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,8 GiB/vCPU,0,Variable,current,No,No,$0.2951 hourly,$0.065 hourly,$0.4791 hourly,$0.249 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,8 GiB/vCPU,0,Variable,current,No,No,$3.5411 hourly,$0.7798 hourly,$5.7491 hourly,$2.9878 hourly
