instance_type,GPU model,Physical Processor,GPUs,vCPUs,On Demand Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,price_usd_per_hour,gpu_tdp_w_per_gpu,gpu_power_w_per_gpu_at_util,total_gpu_power_w,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_power_w_per_vcpu_at_util,total_cpu_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,gpu_mapping_status,cpu_mapping_status,cpu_source_type,cpu_source_name,cpu_source_note,Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),GiB of Memory per vCPU,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz),On Demand (Vantage),On Demand Numeric
dl2q.24xlarge,Qualcomm AI 100 Accelerators,Intel Xeon Platinum 8259 (Cascade Lake),8.0,96 vCPUs,11.5952,QA100,Intel Xeon Platinum 8259 (Cascade Lake),8.0,96.0,11.5952,75,67.5,540.0,210.0,48.0,4.375,2.1875,210.0,750.0,0.00075,15460.266666666666,resolved,resolved,benchmark_proxy,Closest Cascade Lake benchmark/reference listings,Custom AWS-adjacent SKU; inferred from common reference sites.,DL2Q 24xlarge,dl2q,"1,295,313.484",Machine Learning ASIC Instances,179.0 fps,768 GiB,2933 MT/s,Yes,2.0,21.0,24.0,48.0,382935 MB,35.0 MB,Yes,0 units,8.00 GiB/vCPU,128 GiB,0.0,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750.0,15.0,Yes,No,Yes,107.0,Yes,Yes,Yes,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current,,,No,5.97x,,,,,,,11.5952,
g2.2xlarge,NVIDIA GRID K520,Intel Xeon E5-2670 (Sandy Bridge),1.0,8 vCPUs,0.65,K520,Intel Xeon E5-2670 (Sandy Bridge),1.0,8.0,0.65,225,202.5,202.5,115.0,16.0,7.1875,3.59375,28.75,231.25,0.00023125,2810.810810810811,resolved,resolved,benchmark_proxy,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor value.,G2 Double Extra Large,g2,,GPU instance,,15 GiB,,,,,,,,,,26 units,1.88 GiB/vCPU,4 GiB,3.0,0,3.2500 units,2.6 GHz,Yes,,,Yes,EBS only,,,x86_64,Moderate,,,,,,,No,,,No,,,,No,No,Yes,Unknown,No,,$0.65 hourly,,,,$0.765 hourly,,,,,,,,$0.75 hourly,,,,$0.767 hourly,,,,$2.86 hourly,,$0.957 hourly,,$3.816 hourly,,,,$0.785 hourly,,$1.61 hourly,,,,,,previous,,,,,,,,,,,,0.65
g2.8xlarge,NVIDIA GRID K520,Intel Xeon E5-2670 (Sandy Bridge),4.0,32 vCPUs,2.6,K520,Intel Xeon E5-2670 (Sandy Bridge),4.0,32.0,2.6,225,202.5,810.0,115.0,16.0,7.1875,3.59375,115.0,925.0,0.000925,2810.810810810811,resolved,resolved,benchmark_proxy,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor value.,G2 Eight Extra Large,g2,,GPU instance,,60 GiB,,,,,,,,,,104 units,1.88 GiB/vCPU,16 GiB,3.0,0,3.2500 units,2.6 GHz,Yes,,,Yes,EBS only,,,x86_64,High,,,,,,,No,,,No,,,,No,No,Yes,Unknown,No,,$2.60 hourly,,,,$2.946 hourly,,,,,,,,$2.70 hourly,,,,$2.878 hourly,,,,$2.86 hourly,,,,,,$16.072 hourly,,,,,,$14.60 hourly,,,,previous,,,,,,,,,,,,2.6
g3.16xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),4.0,64 vCPUs,4.56,M60,Intel Xeon E5-2686 v4 (Broadwell),4.0,64.0,4.56,300,270.0,1080.0,145.0,36.0,4.027777777777778,2.013888888888889,128.88888888888889,1208.888888888889,0.0012088888888888,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.,G3 Graphics GPU 16xlarge Extra Large,g3,,GPU instance,,488 GiB,,,,,,,,,,201 units,7.63 GiB/vCPU,32 GiB,5.2,0,3.1406 units,2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,20 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$4.56 hourly,,,,$5.2512 hourly,,,,$6.1472 hourly,,,,$4.66 hourly,,,,$7.504 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,,4.56
g3.4xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,16 vCPUs,1.14,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,16.0,1.14,300,270.0,270.0,145.0,36.0,4.027777777777778,2.013888888888889,32.22222222222222,302.22222222222223,0.0003022222222222,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.,G3 Graphics GPU Quadruple Extra Large,g3,,GPU instance,,122 GiB,,,,,,,,,,58 units,7.63 GiB/vCPU,8 GiB,5.2,0,3.6250 units,2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,Up to 10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$1.14 hourly,,,,$1.3128 hourly,,,,$1.5368 hourly,,,,$1.24 hourly,,,,$1.876 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,,1.14
g3.8xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),2.0,32 vCPUs,2.28,M60,Intel Xeon E5-2686 v4 (Broadwell),2.0,32.0,2.28,300,270.0,540.0,145.0,36.0,4.027777777777778,2.013888888888889,64.44444444444444,604.4444444444445,0.0006044444444444,3772.0588235294113,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.,G3 Graphics GPU Eight Extra Large,g3,,GPU instance,,244 GiB,,,,,,,,,,97 units,7.63 GiB/vCPU,16 GiB,5.2,0,3.0313 units,2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$2.28 hourly,,,,$2.6256 hourly,,,,$3.0736 hourly,,,,$2.38 hourly,,,,$3.752 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,,2.28
g3s.xlarge,NVIDIA Tesla M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,4 vCPUs,0.75,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,4.0,0.75,300,270.0,270.0,145.0,36.0,4.027777777777778,2.013888888888889,8.055555555555555,278.05555555555554,0.0002780555555555,2697.3026973026977,resolved,resolved,benchmark_proxy,Closest Broadwell Xeon benchmark/reference listings,AWS-associated custom part; Direct vendor value.,G3S Extra Large,g3s,,GPU instance,,30.5 GiB,,,,,,,,,,13 units,7.63 GiB/vCPU,8 GiB,5.2,0,3.2500 units,2.3 GHz,,,,,EBS only,,,x86_64,10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$0.75 hourly,,,,$0.808 hourly,,,,$0.878 hourly,,,,$0.806 hourly,,,,$0.934 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.188 hourly,current,,,,,,,,,,,,0.75
g4ad.16xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,4.0,64 vCPUs,3.468,V520,AMD EPYC 7R32,4.0,64.0,3.468,225,202.5,810.0,280.0,96.0,2.9166666666666665,1.4583333333333333,93.33333333333331,903.3333333333334,0.0009033333333333,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,G4AD 16xlarge Extra Large,g4ad,"1,251,099.599",GPU instance,175.0 fps,256 GiB,2933 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,32 GiB,0.0,0,0.0000 units,2.8 GHz,,,,,2400 GB (2×1200 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,6300 Mbps,787.5 MB/s,26667 IOPS,6300 Mbps,787.5 MB/s,26667 IOPS,Yes,240.0,8.0,Yes,No,Yes,6.0,Yes,Yes,Yes,Unknown,No,,$3.468 hourly,$2.1848 hourly,$2.0287 hourly,$2.1222 hourly,$4.1592 hourly,$2.876 hourly,$2.7199 hourly,$2.8971 hourly,$5.0552 hourly,$3.772 hourly,,,$3.593 hourly,$2.2448 hourly,$2.1537 hourly,$2.3309 hourly,$6.412 hourly,$5.1288 hourly,$3.2908 hourly,$3.2908 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,5.84x,,,,,,,,3.468
g4ad.2xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,8 vCPUs,0.5412,V520,AMD EPYC 7R32,1.0,8.0,0.5412,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,11.666666666666666,214.16666666666663,0.0002141666666666,2527.003891050584,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,G4AD Double Extra Large,g4ad,"149,300.156",GPU instance,53.0 fps,32 GiB,2933 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,8 GiB,0.0,0,0.0000 units,2.8 GHz,,,,,300 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,800 Mbps,100 MB/s,3400 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8.0,2.0,Yes,No,Yes,12.0,Yes,Yes,Yes,Unknown,No,,$0.5412 hourly,$0.3409 hourly,$0.1969 hourly,$0.279 hourly,$0.6564 hourly,$0.4561 hourly,$0.3121 hourly,$0.4527 hourly,$0.7964 hourly,$0.5961 hourly,,,$0.6662 hourly,$0.4009 hourly,$0.3219 hourly,$0.4625 hourly,$0.9092 hourly,$0.7089 hourly,$0.513 hourly,$0.5303 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,1.78x,,,,,,,,0.5412
g4ad.4xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,16 vCPUs,0.867,V520,AMD EPYC 7R32,1.0,16.0,0.867,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,23.33333333333333,225.83333333333331,0.0002258333333333,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,G4AD Quadruple Extra Large,g4ad,"301,744.46",GPU instance,100.0 fps,64 GiB,3200 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,8 GiB,0.0,0,0.0000 units,2.8 GHz,,,,,600 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,1580 Mbps,197.5 MB/s,6700 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,30.0,3.0,Yes,No,Yes,11.0,Yes,Yes,Yes,Unknown,No,,$0.867 hourly,$0.5462 hourly,$0.3575 hourly,$0.3697 hourly,$1.0398 hourly,$0.719 hourly,$0.5303 hourly,$0.5531 hourly,$1.2638 hourly,$0.943 hourly,,,$0.992 hourly,$0.6062 hourly,$0.4825 hourly,$0.5053 hourly,$1.603 hourly,$1.2822 hourly,$0.839 hourly,$0.8453 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,3.33x,,,,,,,,0.867
g4ad.8xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,2.0,32 vCPUs,1.734,V520,AMD EPYC 7R32,2.0,32.0,1.734,225,202.5,405.0,280.0,96.0,2.9166666666666665,1.4583333333333333,46.66666666666666,451.6666666666667,0.0004516666666666,3839.1143911439112,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,G4AD Eight Extra Large,g4ad,"609,911.055",GPU instance,151.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,16 GiB,0.0,0,0.0000 units,2.8 GHz,,,,,1200 GB NVMe SSD,Yes,Yes,x86_64,15 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,60.0,4.0,Yes,No,Yes,10.0,Yes,Yes,Yes,Unknown,No,,$1.734 hourly,$1.0924 hourly,$0.6319 hourly,$0.6656 hourly,$2.0796 hourly,$1.438 hourly,$0.9775 hourly,$1.0547 hourly,$2.5276 hourly,$1.886 hourly,,,$1.859 hourly,$1.1524 hourly,$0.7569 hourly,$0.8341 hourly,$3.206 hourly,$2.5644 hourly,$1.6454 hourly,$1.6454 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,5.04x,,,,,,,,1.734
g4ad.xlarge,AMD Radeon Pro V520,AMD EPYC 7R32,1.0,4 vCPUs,0.3785,V520,AMD EPYC 7R32,1.0,4.0,0.3785,225,202.5,202.5,280.0,96.0,2.9166666666666665,1.4583333333333333,5.833333333333333,208.33333333333331,0.0002083333333333,1816.8,resolved,resolved,benchmark_proxy,Closest EPYC Rome custom-SKU benchmark/reference listings,AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,G4AD Extra Large,g4ad,"74,710.497",GPU instance,28.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,8 GiB,0.0,0,0.0000 units,2.8 GHz,,,,,150 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,400 Mbps,50 MB/s,1700 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8.0,2.0,Yes,No,Yes,12.0,Yes,Yes,Yes,Unknown,No,,$0.3785 hourly,$0.2385 hourly,$0.112 hourly,$0.1157 hourly,$0.4361 hourly,$0.2961 hourly,$0.1696 hourly,$0.1824 hourly,$0.5061 hourly,$0.3661 hourly,,,$0.4348 hourly,$0.2885 hourly,$0.1683 hourly,$0.1811 hourly,$0.5625 hourly,$0.4225 hourly,$0.2219 hourly,$0.2257 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,0.92x,,,,,,,,0.3785
g4dn.12xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,4.0,48 vCPUs,3.912,T4,Intel Xeon Family,4.0,48.0,3.912,70,63.0,252.0,250.0,32.0,7.8125,3.90625,187.5,439.5,0.0004395,8901.023890784983,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN 12xlarge Extra Large,g4dn,"715,776.916",GPU instance,110.0 fps,192 GiB,3200 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,64 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240.0,8.0,Yes,No,Yes,54.0,Yes,Yes,Yes,Unknown,Yes,,$3.912 hourly,$2.465 hourly,$1.1351 hourly,$1.2979 hourly,$4.43 hourly,$2.983 hourly,$1.6531 hourly,$2.0969 hourly,$5.102 hourly,$3.655 hourly,,,$4.037 hourly,$2.525 hourly,$1.2601 hourly,$1.7039 hourly,$6.12 hourly,$4.673 hourly,$2.5992 hourly,$2.6095 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,"Turing, Turing, Turing, Turing",32.8°C,Yes,3.66x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,833 MHz,,3.912
g4dn.16xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,64 vCPUs,4.352,T4,Intel Xeon Family,1.0,64.0,4.352,70,63.0,63.0,250.0,32.0,7.8125,3.90625,250.0,313.0,0.000313,13904.153354632588,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN 16xlarge Extra Large,g4dn,"914,808.462",GPU instance,105.0 fps,256 GiB,2933 MT/s,Yes,2.0,21.0,16.0,32.0,127577 MB,35.0 MB,Yes,0 units,4.00 GiB/vCPU,16 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,60.0,4.0,Yes,No,Yes,118.0,Yes,Yes,Yes,Unknown,Yes,,$4.352 hourly,$2.742 hourly,$1.0773 hourly,$1.2165 hourly,$5.043 hourly,$3.433 hourly,$1.7683 hourly,$2.0621 hourly,$5.939 hourly,$4.329 hourly,,,$4.477 hourly,$2.802 hourly,$1.2023 hourly,$1.4961 hourly,$7.296 hourly,$5.686 hourly,$3.3792 hourly,$3.4031 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,34.0°C,Yes,3.51x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,825 MHz,,4.352
g4dn.2xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,8 vCPUs,0.752,T4,Intel Xeon Family,1.0,8.0,0.752,70,63.0,63.0,250.0,32.0,7.8125,3.90625,31.25,94.25,9.425e-05,7978.779840848806,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN Double Extra Large,g4dn,"116,228.389",GPU instance,105.0 fps,32 GiB,2666 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,16 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,225 GB NVMe SSD,Yes,Yes,x86_64,Up to 25 Gigabit,1150 Mbps,143.75 MB/s,6000 IOPS,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,30.0,3.0,Yes,No,Yes,39.0,Yes,Yes,Yes,Unknown,Yes,,$0.752 hourly,$0.474 hourly,$0.2466 hourly,$0.2857 hourly,$0.867 hourly,$0.589 hourly,$0.3616 hourly,$0.4456 hourly,$1.007 hourly,$0.729 hourly,,,$0.877 hourly,$0.534 hourly,$0.3716 hourly,$0.4556 hourly,$1.12 hourly,$0.842 hourly,$0.4598 hourly,$0.4637 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.188 hourly,current,Turing,39.0°C,Yes,3.49x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,810 MHz,,0.752
g4dn.4xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,16 vCPUs,1.204,T4,Intel Xeon Family,1.0,16.0,1.204,70,63.0,63.0,250.0,32.0,7.8125,3.90625,62.5,125.5,0.0001255,9593.625498007968,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN Quadruple Extra Large,g4dn,"230,991.338",GPU instance,106.0 fps,64 GiB,3200 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,16 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,225 GB NVMe SSD,Yes,Yes,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30.0,3.0,Yes,No,Yes,59.0,Yes,Yes,Yes,Unknown,Yes,,$1.204 hourly,$0.759 hourly,$0.3858 hourly,$0.4073 hourly,$1.377 hourly,$0.931 hourly,$0.5588 hourly,$0.6155 hourly,$1.601 hourly,$1.155 hourly,,,$1.329 hourly,$0.819 hourly,$0.5108 hourly,$0.5675 hourly,$1.94 hourly,$1.495 hourly,$0.872 hourly,$0.8733 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,30.0°C,Yes,3.52x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,855 MHz,,1.204
g4dn.8xlarge,NVIDIA T4 Tensor Core,Intel Xeon Family,1.0,32 vCPUs,2.176,T4,Intel Xeon Family,1.0,32.0,2.176,70,63.0,63.0,250.0,32.0,7.8125,3.90625,125.0,188.0,0.000188,11574.468085106384,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN Eight Extra Large,g4dn,"458,343.28",GPU instance,105.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,4.00 GiB/vCPU,16 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,900 GB NVMe SSD,Yes,Yes,x86_64,50 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,60.0,4.0,Yes,No,Yes,58.0,Yes,Yes,Yes,Unknown,Yes,,$2.176 hourly,$1.371 hourly,$0.589 hourly,$0.6714 hourly,$2.522 hourly,$1.716 hourly,$0.935 hourly,$1.1263 hourly,$2.97 hourly,$2.164 hourly,,,$2.301 hourly,$1.431 hourly,$0.714 hourly,$0.9053 hourly,$3.648 hourly,$2.843 hourly,$1.6896 hourly,$1.7082 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,$0.27 hourly,current,Turing,31.0°C,Yes,3.50x,0.0W,0.0W,585 MHz,585 MHz,5000 MHz,825 MHz,,2.176
g4dn.metal,NVIDIA T4 Tensor Core,Intel Xeon Family,8.0,96 vCPUs,7.824,T4,Intel Xeon Family,8.0,96.0,7.824,70,63.0,504.0,250.0,32.0,7.8125,3.90625,375.0,879.0,0.000879,8901.023890784983,resolved,resolved,family_proxy,Generic Xeon family proxy from common reference sites,Very generic label; conservative proxy used.,G4DN Metal,g4dn,"1,287,380.984",GPU instance,103.0 fps,384 GiB,3200 MT/s,Yes,2.0,21.0,24.0,48.0,193284 MB,35.0 MB,Yes,0 units,4.00 GiB/vCPU,128 GiB,7.5,0,0.0000 units,2.5 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750.0,15.0,Yes,Yes,Yes,107.0,Yes,Yes,Yes,Unknown,No,,$7.824 hourly,$4.929 hourly,$2.5732 hourly,$3.2049 hourly,$8.861 hourly,$5.966 hourly,$3.6102 hourly,$5.4375 hourly,$10.205 hourly,$7.31 hourly,,,$7.949 hourly,$4.989 hourly,$2.6982 hourly,$4.5255 hourly,$12.24 hourly,$9.345 hourly,$5.1984 hourly,$5.1984 hourly,$8.606 hourly,$5.422 hourly,,,,,,,,,,,,,>20%,,current,"Turing, Turing, Turing, Turing, Turing, Turing, Turing, Turing",29.1°C,Yes,3.44x,0.0W,0.0W,514 MHz,514 MHz,3851 MHz,758 MHz,,7.824
