date,voll_mean,voll_min,voll_max,obs_count
2025-11-20,9257.526315789475,9257.526315789475,9257.526315789475,1
2025-11-21,9657.57894736842,9657.57894736842,9657.57894736842,1
2025-11-22,10089.016447368422,9892.763157894737,10171.539473684212,4
2025-11-23,10323.848684210527,10224.776315789473,10400.197368421053,4
2025-11-24,10789.243421052632,10514.986842105263,11139.092105263158,4
2025-11-25,11282.46052631579,11174.276315789473,11485.197368421052,5
2025-11-26,11596.815789473685,11510.013157894737,11645.052631578947,3
2025-11-27,12301.376315789475,11813.894736842105,12795.21052631579,5
2025-11-28,12949.763157894738,12844.934210526315,13127.026315789473,3
2025-11-29,13507.3125,13448.96052631579,13553.368421052632,4
2025-11-30,13898.203947368422,13650.157894736843,14029.17105263158,4
2025-12-01,14393.881578947368,14263.039473684212,14591.947368421052,3
2025-12-02,14934.105263157895,14664.855263157895,15200.184210526315,4
2025-12-03,15639.10197368421,15524.605263157893,15763.868421052632,4
2025-12-04,16195.565789473683,16026.934210526315,16377.552631578947,4
2025-12-05,16094.838815789473,15991.25,16196.315789473683,4
2025-12-06,15580.473684210525,15387.592105263158,15799.197368421052,5
2025-12-07,15191.078947368422,15142.671052631578,15248.197368421053,3
2025-12-08,14766.121052631579,14518.25,14983.197368421052,5
2025-12-09,14208.717105263157,14068.223684210525,14348.473684210527,4
2025-12-11,13162.197368421053,13162.197368421053,13162.197368421053,1
2025-12-12,12982.42105263158,12927.618421052632,13070.986842105263,3
2025-12-13,12696.569078947368,12530.855263157895,12832.53947368421,4
2025-12-14,12344.236842105263,12225.552631578947,12419.184210526317,5
2025-12-15,11931.568421052632,11809.881578947368,12099.776315789473,5
2025-12-16,11530.015789473684,11321.394736842105,11695.828947368422,5
2025-12-17,11082.97697368421,10901.894736842105,11237.96052631579,4
2025-12-18,10699.0625,10643.802631578947,10801.565789473683,4
2025-12-19,10388.496710526315,10218.276315789473,10520.434210526315,4
2025-12-20,10042.1875,9943.934210526315,10161.907894736843,4
2025-12-21,9689.686842105262,9548.302631578947,9843.513157894737,5
2025-12-22,9419.342105263157,9319.447368421052,9493.315789473683,4
2025-12-23,9204.42105263158,9088.578947368422,9309.894736842105,4
2025-12-24,8890.481578947369,8827.473684210527,8989.644736842105,5
2025-12-25,8755.833333333334,8686.868421052632,8817.184210526315,3
2025-12-26,8535.71052631579,8489.565789473685,8586.855263157893,4
2025-12-27,8354.54210526316,8287.473684210527,8430.539473684212,5
2025-12-28,8224.105263157895,8181.907894736842,8284.552631578948,4
2025-12-29,7975.103070175439,7828.0526315789475,8130.1578947368425,6
2025-12-30,7777.6578947368425,7743.71052631579,7810.355263157895,3
2025-12-31,7685.662280701755,7672.131578947368,7701.355263157894,3
2026-01-01,7598.493421052632,7549.302631578947,7670.5526315789475,4
2026-01-02,7515.381578947369,7492.776315789473,7536.894736842105,3
2026-01-03,7338.265350877194,7243.486842105263,7411.5,6
2026-01-04,7145.776315789473,7098.210526315789,7192.881578947368,4
2026-01-05,6921.352631578948,6816.263157894738,7029.144736842106,5
2026-01-06,6735.519736842105,6669.0526315789475,6814.815789473684,4
2026-01-07,6566.148026315789,6475.434210526315,6647.710526315789,4
2026-01-08,6382.429824561404,6344.513157894737,6412.868421052632,3
2026-01-09,6177.763157894737,6177.763157894737,6177.763157894737,1
2026-01-10,6133.802631578947,6108.184210526315,6174.855263157895,3
2026-01-11,6000.657894736842,5914.210526315789,6082.473684210526,4
2026-01-12,5860.1578947368425,5821.763157894737,5913.131578947368,3
2026-01-13,5694.002631578947,5655.868421052632,5762.3026315789475,5
2026-01-14,5578.049342105263,5517.381578947368,5655.1973684210525,4
2026-01-15,5418.088815789473,5375.657894736842,5450.578947368421,4
2026-01-16,5307.286184210527,5270.105263157894,5336.921052631579,4
2026-01-17,5198.1875,5146.5526315789475,5266.631578947368,4
2026-01-18,5098.14802631579,5068.75,5143.684210526316,4
2026-01-19,4973.9375,4917.828947368422,5034.131578947368,4
2026-01-20,4819.008771929824,4794.631578947368,4858.223684210527,3
2026-01-21,4767.384868421053,4721.644736842106,4789.092105263158,4
2026-01-22,4662.138157894737,4640.276315789474,4699.276315789474,4
2026-01-23,4551.256578947368,4499.078947368421,4584.723684210526,4
2026-01-24,4464.0,4440.6973684210525,4480.355263157895,3
2026-01-25,4348.190789473684,4307.631578947368,4398.78947368421,4
2026-01-26,4254.618421052632,4224.460526315789,4280.868421052632,3
2026-01-27,4145.113157894737,4121.368421052632,4190.5526315789475,5
2026-01-28,4068.021929824561,4033.828947368421,4086.407894736842,3
2026-01-29,3959.7861842105262,3927.671052631579,4014.434210526316,4
2026-01-30,3851.745614035088,3828.947368421053,3884.407894736842,3
2026-01-31,3802.6666666666665,3771.684210526316,3823.5789473684213,3
2026-02-01,3714.3552631578946,3674.868421052631,3729.7631578947367,5
2026-02-02,3608.6348684210525,3575.7105263157896,3641.552631578947,4
2026-02-03,3512.555263157895,3461.0,3557.25,5
2026-02-04,3420.263157894737,3387.105263157895,3435.25,4
2026-02-05,3340.8684210526317,3336.684210526316,3347.197368421053,3
2026-02-06,3307.4868421052633,3273.0263157894738,3336.4736842105262,4
2026-02-07,3216.536842105263,3189.407894736842,3246.7894736842104,5
2026-02-08,3158.175438596491,3131.710526315789,3179.9473684210525,3
2026-02-09,3078.2565789473683,3054.8552631578946,3115.7105263157896,4
2026-02-10,3005.9605263157896,2983.0131578947367,3030.0526315789475,3
2026-02-11,2927.5888157894738,2882.565789473684,2969.2763157894738,4
2026-02-12,2845.5236842105264,2837.8947368421054,2870.6184210526317,5
2026-02-13,2829.884210526316,2823.0789473684213,2839.0263157894738,5
2026-02-14,2822.328947368421,2819.1447368421054,2827.1973684210525,4
2026-02-15,2836.05701754386,2831.3289473684213,2843.763157894737,3
2026-02-16,2855.690789473684,2850.0131578947367,2861.3684210526317,2
2026-02-17,2884.1710526315787,2877.144736842105,2889.5,3
2026-02-18,2909.9111842105262,2893.565789473684,2925.9210526315787,4
2026-02-19,2931.167763157895,2926.3289473684213,2935.6184210526317,4
2026-02-20,2941.3552631578946,2935.592105263158,2946.1315789473683,3
2026-02-21,2957.529605263158,2951.8815789473683,2961.6973684210525,4
2026-02-22,2956.5164473684213,2952.7894736842104,2960.342105263158,4
